|debug  | 2023-12-20.17:05:28 MonteCarloTreesApp::setup[84] Starting setup at 0.173844 s
|debug  | 2023-12-20.17:05:28 MonteCarloTreesApp::update[119] 	Currentstep: 	0
|debug  | 2023-12-20.17:05:28 MonteCarloTreesApp::draw[164] 
|debug  | 2023-12-20.17:05:28 MonteCarloTreesApp::update[119] 	Currentstep: 	1
|debug  | 2023-12-20.17:05:29 MonteCarloTreesApp::draw[164] 
|debug  | 2023-12-20.17:05:29 MonteCarloTreesApp::update[119] 	Currentstep: 	2
|debug  | 2023-12-20.17:05:29 MonteCarloTreesApp::draw[164] 
|debug  | 2023-12-20.17:05:29 MonteCarloTreesApp::update[119] 	Currentstep: 	3
|debug  | 2023-12-20.17:05:29 MonteCarloTreesApp::draw[164] 
|debug  | 2023-12-20.17:05:29 MonteCarloTreesApp::update[119] 	Currentstep: 	4
|debug  | 2023-12-20.17:05:29 MonteCarloTreesApp::draw[164] 
|debug  | 2023-12-20.17:05:29 MonteCarloTreesApp::update[119] 	Currentstep: 	5
|debug  | 2023-12-20.17:05:29 MonteCarloTreesApp::draw[164] 
|debug  | 2023-12-20.17:05:29 MonteCarloTreesApp::update[119] 	Currentstep: 	6
|debug  | 2023-12-20.17:05:29 MonteCarloTreesApp::draw[164] 
|debug  | 2023-12-20.17:05:29 MonteCarloTreesApp::draw[164] 
|debug  | 2023-12-20.17:05:29 MonteCarloTreesApp::update[119] 	Currentstep: 	7
|debug  | 2023-12-20.17:05:29 MonteCarloTreesApp::draw[164] 
|debug  | 2023-12-20.17:05:29 MonteCarloTreesApp::update[119] 	Currentstep: 	8
|debug  | 2023-12-20.17:05:29 MonteCarloTreesApp::draw[164] 
|debug  | 2023-12-20.17:05:29 MonteCarloTreesApp::update[119] 	Currentstep: 	9
|debug  | 2023-12-20.17:05:30 MonteCarloTreesApp::draw[164] 
|debug  | 2023-12-20.17:05:30 MonteCarloTreesApp::update[119] 	Currentstep: 	10
|debug  | 2023-12-20.17:05:30 MonteCarloTreesApp::draw[164] 
|debug  | 2023-12-20.17:05:30 MonteCarloTreesApp::update[119] 	Currentstep: 	11
|debug  | 2023-12-20.17:05:30 MonteCarloTreesApp::draw[164] 
|debug  | 2023-12-20.17:05:30 MonteCarloTreesApp::update[119] 	Currentstep: 	12
|debug  | 2023-12-20.17:05:30 MonteCarloTreesApp::draw[164] 
|debug  | 2023-12-20.17:05:30 MonteCarloTreesApp::update[119] 	Currentstep: 	13
|debug  | 2023-12-20.17:05:30 MonteCarloTreesApp::draw[164] 
|debug  | 2023-12-20.17:05:30 MonteCarloTreesApp::update[119] 	Currentstep: 	14
|debug  | 2023-12-20.17:05:30 MonteCarloTreesApp::draw[164] 
|debug  | 2023-12-20.17:05:30 MonteCarloTreesApp::update[119] 	Currentstep: 	15
|debug  | 2023-12-20.17:05:30 MonteCarloTreesApp::draw[164] 
|debug  | 2023-12-20.17:05:30 MonteCarloTreesApp::update[119] 	Currentstep: 	16
|debug  | 2023-12-20.17:05:30 MonteCarloTreesApp::draw[164] 
|debug  | 2023-12-20.17:05:30 MonteCarloTreesApp::update[119] 	Currentstep: 	17
|debug  | 2023-12-20.17:05:30 MonteCarloTreesApp::draw[164] 
|debug  | 2023-12-20.17:05:30 MonteCarloTreesApp::update[119] 	Currentstep: 	18
|debug  | 2023-12-20.17:05:31 MonteCarloTreesApp::draw[164] 
|debug  | 2023-12-20.17:05:31 MonteCarloTreesApp::update[119] 	Currentstep: 	19
|debug  | 2023-12-20.17:05:31 MonteCarloTreesApp::draw[164] 
|debug  | 2023-12-20.17:05:31 MonteCarloTreesApp::update[119] 	Currentstep: 	20
|debug  | 2023-12-20.17:05:31 MonteCarloTreesApp::draw[164] 
|debug  | 2023-12-20.17:05:31 MonteCarloTreesApp::update[119] 	Currentstep: 	21
|debug  | 2023-12-20.17:05:31 MonteCarloTreesApp::draw[164] 
|debug  | 2023-12-20.17:05:31 MonteCarloTreesApp::update[119] 	Currentstep: 	22
|debug  | 2023-12-20.17:05:31 MonteCarloTreesApp::draw[164] 
|debug  | 2023-12-20.17:05:31 MonteCarloTreesApp::update[119] 	Currentstep: 	23
|debug  | 2023-12-20.17:05:31 MonteCarloTreesApp::draw[164] 
|debug  | 2023-12-20.17:05:31 MonteCarloTreesApp::update[119] 	Currentstep: 	24
|debug  | 2023-12-20.17:05:31 MonteCarloTreesApp::draw[164] 
|debug  | 2023-12-20.17:05:31 MonteCarloTreesApp::update[119] 	Currentstep: 	25
|debug  | 2023-12-20.17:05:31 MonteCarloTreesApp::draw[164] 
|debug  | 2023-12-20.17:05:31 MonteCarloTreesApp::update[119] 	Currentstep: 	26
|debug  | 2023-12-20.17:05:31 MonteCarloTreesApp::draw[164] 
